,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point
name,7번방의 선물,82년생 김지영,가버나움,감쪽같은 그녀,겨울왕국 2,결혼 이야기,교회오빠,기생충,"나, 다니엘 블레이크",나를 찾아줘,나이브스 아웃,날씨의 아이,눈의 여왕4,대통령의 7시간,더 길티,더 킹: 헨리 5세,더 포리너,라스트 크리스마스,러브 액츄얼리,러브 앳,러브레터,레토,멀홀랜드 드라이브,멋진 하루,메기,메리 포핀스,무뢰한,미드나잇 인 파리,미드소마,미성년,밀양,백두산,벌새,보리밭을 흔드는 바람,부에나 비스타 소셜 클럽,블랙 스완,블랙머니,삽질,서칭 포 슈가맨,슈퍼소닉,시동,신비아파트 극장판 하늘도깨비 대 요르문간드,신의 한 수: 귀수편,아내를 죽였다,아담스 패밀리,아비정전,아사코,아이리시맨,엑시트,엔젤 해즈 폴른,우리집,윤희에게,인비저블 게스트,일일시호일,접속,조커,주전장,쥬만지: 넥스트 레벨,천문: 하늘에 묻는다,카센타,캐롤,캣츠,콜드 워,쿵푸 허슬,킹 오브 프리즘,킹 오브 프리즘 프라이드 더 히어로,터미네이터: 다크 페이트,포드 V 페라리,포레스트 검프,해피 엔드,행동하는 양심 김대중
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-20,8.83,,9.59,7.54,8.69,9.11,9.27,8.49,,,9.12,7.89,,,7.51,8.53,,,8.95,9.25,,8.4,,8.17,8.32,9.27,7.82,8.53,,8.31,7.87,,8.9,8.45,8.77,8.69,8.48,,8.99,9.21,7.98,,7.85,,7.8,8.47,7.57,8.92,8.29,8.44,8.71,9.18,,,8.7,8.65,9.49,,,,8.57,,8.32,8.62,9.17,9.12,8.62,9.56,9.39,8.27,
2019-12-21,,6.69,9.59,7.55,8.69,9.12,9.27,8.49,,7.07,9.12,7.89,,,7.51,8.53,,6.73,8.95,9.25,,8.4,,8.17,8.32,,7.82,8.53,,8.31,7.87,,8.9,8.45,8.77,8.69,8.46,,8.99,9.21,8.0,,7.85,,7.8,8.47,7.58,8.93,8.29,,8.71,9.11,,,8.7,8.65,9.49,,,7.28,,,8.33,8.62,9.17,9.12,8.63,9.56,9.39,8.27,
2019-12-22,,6.69,9.59,7.54,8.69,9.13,9.27,8.49,,7.07,9.12,7.89,,,7.51,8.53,,6.73,8.95,9.25,,8.4,,8.17,8.32,,7.82,8.53,6.55,8.31,7.87,,8.89,8.45,8.77,8.69,8.45,6.43,8.99,9.21,8.15,,7.85,,7.8,8.47,7.58,8.93,8.29,,8.71,9.07,,,,8.66,,,,7.22,,,8.33,8.62,9.17,9.12,8.63,9.56,9.39,8.27,
2019-12-23,,6.69,9.59,7.54,8.7,9.14,9.27,8.49,,7.06,9.13,7.9,,6.25,7.51,8.53,,6.74,8.95,9.25,,8.4,,,8.3,,7.82,8.53,6.55,8.31,,5.76,8.89,8.45,,8.69,8.45,6.44,,,8.06,,7.85,5.72,7.79,8.47,7.58,8.93,8.29,,8.71,9.06,,,,8.66,,6.08,,7.23,,,8.33,8.62,,,8.63,9.57,9.39,8.27,2.98
2019-12-24,,6.69,9.59,7.55,8.7,9.13,9.27,8.49,,7.06,9.13,7.9,,6.25,7.52,8.53,,6.74,8.95,9.28,,8.4,7.51,,8.3,,,8.53,6.55,8.31,,5.77,8.89,8.45,,8.69,,6.44,,,8.06,,7.85,5.58,,8.47,7.58,8.92,8.29,,8.71,9.05,8.92,,,8.66,,6.08,,7.22,,6.14,8.32,8.62,,,,9.57,9.39,,2.96
2019-12-25,,6.69,9.59,7.53,8.7,9.11,9.27,8.49,,7.06,9.13,7.9,,6.23,7.52,8.53,,6.74,8.95,9.28,,,7.51,,8.29,,,8.53,6.54,8.31,,5.86,8.89,8.45,,8.69,,6.41,,,8.02,8.61,7.85,5.39,,,7.58,8.92,8.29,,8.71,9.04,8.92,,,8.65,,6.08,,,,5.31,8.33,,,,,9.57,9.39,,
2019-12-26,,6.69,9.59,7.5,8.71,9.11,9.27,8.49,9.26,,9.14,7.9,,6.24,7.53,8.52,7.65,6.74,8.95,9.28,9.11,,7.51,,8.28,,,8.53,6.53,8.31,,5.89,8.89,8.45,,8.69,,6.42,,,8.01,8.58,7.84,5.33,,,7.58,8.92,8.29,,8.71,9.03,8.92,,,8.66,,6.08,9.0,,,4.94,8.33,,,,,9.57,,,
2019-12-27,,6.69,9.59,7.5,8.71,9.11,9.26,8.49,9.26,,9.14,7.9,9.43,6.22,7.53,8.52,7.66,6.74,8.95,9.27,9.11,,,,8.27,,,8.53,6.53,8.31,,5.89,8.89,8.45,,8.69,8.44,6.41,,,8.01,8.53,7.84,5.28,,,7.58,8.92,8.29,,8.71,9.03,8.92,,,8.65,9.49,6.1,9.01,,,4.83,8.33,,,,,9.57,,,
