title,artist,album,2019-06-14,2019-06-21,2019-06-28,2019-07-05,2019-07-12,2019-07-19,2019-07-26,2019-08-02
2002,Anne-Marie(앤 마리),Speak Your Mind [Deluxe],3.0,5.0,7.0,10.0,12.0,13.0,13.0,6.0
A Whole New World,Mena Massoud,알라딘 (Aladdin) OST,4.0,7.0,9.0,12.0,20.0,19.0,22.0,25.0
AH YEAH (아예),WINNER,WE,21.0,34.0,46.0,,,,,
Another Day,먼데이 키즈(Monday Kiz),호텔 델루나 OST Part.1,,,,,,2.0,4.0,9.0
Arabian Nights (2019),Will Smith(윌 스미스),알라딘 (Aladdin) OST,15.0,16.0,18.0,26.0,35.0,40.0,,
BAND,창모(CHANGMO),BAND,,,30.0,39.0,43.0,43.0,44.0,42.0
BIRTHDAY,전소미,BIRTHDAY,10.0,8.0,12.0,17.0,26.0,29.0,34.0,44.0
Chica,청하,Flourishing,,,8.0,24.0,36.0,44.0,32.0,40.0
Dream Glow (BTS WORLD OST Part.1),방탄소년단,Dream Glow (BTS WORLD OST Part.1),25.0,44.0,,,,,,
FANCY,TWICE (트와이스),FANCY YOU,13.0,19.0,22.0,27.0,32.0,35.0,33.0,34.0
For me,DAY6 (데이식스),The Book of Us : Gravity,,,,,,39.0,,
Friend Like Me,Will Smith(윌 스미스),알라딘 (Aladdin) OST,22.0,20.0,21.0,29.0,37.0,45.0,,
Goodbye,박효신,Goodbye,27.0,29.0,38.0,,47.0,,,
Heartbeat,방탄소년단,BTS WORLD OST,,,42.0,48.0,,,,
I Don't Care,Ed Sheeran(에드 시런),No.6 Collaborations Project,29.0,28.0,31.0,34.0,34.0,37.0,35.0,39.0
ICY,ITZY (있지),IT'z ICY,,,,,,,,1.0
If I Can't Have You,Shawn Mendes(션 멘데스),If I Can't Have You,19.0,25.0,29.0,36.0,42.0,46.0,50.0,43.0
Kill This Love,BLACKPINK,KILL THIS LOVE,30.0,35.0,47.0,,,,,
Lonely,윤하(Younha/ユンナ),STABLE MINDSET,,,,40.0,,,,
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift(테일러 스위프트),ME! (feat. Brendon Urie of Panic! At The Disco),48.0,50.0,,,,,,
Milkshake,Red Velvet (레드벨벳),‘The ReVe Festival’ Day 1,,45.0,,,,,,
Paris In The Rain,Lauv(라우브),I met you when I was 18. (the playlist),39.0,39.0,44.0,,50.0,,,47.0
Prince Ali,Will Smith(윌 스미스),알라딘 (Aladdin) OST,16.0,14.0,17.0,22.0,31.0,33.0,37.0,48.0
Room Shaker,에일리(Ailee),butterFLY,,,,38.0,,,,
Señorita,Shawn Mendes(션 멘데스),Señorita,,,19.0,16.0,10.0,4.0,3.0,4.0
Snapping,청하,Flourishing,,,1.0,3.0,6.0,8.0,9.0,15.0
Speechless (Full),Naomi Scott,알라딘 (Aladdin) OST,2.0,2.0,3.0,5.0,7.0,7.0,7.0,10.0
Stay Up (Feat. Beenzino),백현(BAEKHYUN),City Lights - The 1st Mini Album,,,,,41.0,,,
Sunny Side Up!,Red Velvet (레드벨벳),‘The ReVe Festival’ Day 1,,17.0,33.0,,,,,
To My World,PRODUCE X 101,PRODUCE X 101 - FINAL,,,,,,,36.0,
U GOT IT,갓츄 (GOT U),PRODUCE X 101 - 31 Boys 5 Concepts,,,,30.0,19.0,24.0,27.0,35.0
UN Village,백현(BAEKHYUN),City Lights - The 1st Mini Album,,,,,14.0,32.0,,
Uh-Oh,(여자)아이들,Uh-Oh,,,4.0,8.0,11.0,17.0,24.0,26.0
We don't talk together (Feat. 기리보이) (Prod. SUGA),헤이즈(Heize),We don't talk together,,,,35.0,1.0,11.0,16.0,22.0
bad guy,Billie Eilish(빌리 아일리시),"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8.0,11.0,14.0,15.0,17.0,15.0,17.0,17.0
comethru,Jeremy Zucker,"summer,",45.0,47.0,,,,,,
"fuck, i'm lonely",Lauv(라우브),"fuck, i'm lonely (from “13 Reasons Why: Season 3”)",,,,,,,,14.0
i'm so tired...,Lauv(라우브),i'm so tired...,42.0,46.0,,,,,,
괜찮아도 괜찮아 (That's okay),디오 (D.O.),괜찮아도 괜찮아 (That's okay) - SM STATION,,,,6.0,18.0,25.0,28.0,37.0
교통정리 (Feat. 헤이즈),기리보이,교통정리,24.0,33.0,49.0,,,,,
그 끝에 그대,청하,호텔 델루나 OST Part.6,,,,,,,,33.0
그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,,,,,,28.0,1.0,2.0
그때가 좋았어,케이시,그때가 좋았어,33.0,30.0,34.0,42.0,45.0,49.0,,50.0
기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7,,,,,,,,38.0
"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운,31.0,31.0,37.0,47.0,,,,
나의 어깨에 기대어요,10CM,호텔 델루나 OST Part.2,,,,,,21.0,2.0,3.0
내 맘을 볼 수 있나요,헤이즈(Heize),호텔 델루나 OST Part.5,,,,,,,,5.0
너를 만나,폴킴(Paul Kim),너를 만나,37.0,38.0,39.0,,48.0,,,
너만 너만 너만,양다일,호텔 델루나 OST Part.4,,,,,,,31.0,12.0
너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은,9.0,10.0,15.0,19.0,25.0,26.0,26.0,30.0
노래방에서,장범준,장범준 3집,20.0,23.0,25.0,33.0,40.0,42.0,46.0,45.0
누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,24℃,7.0,15.0,24.0,32.0,44.0,,,
니 소식,송하예,니 소식,32.0,12.0,11.0,9.0,9.0,9.0,8.0,8.0
다 빛이나 (Gleam),마마무(Mamamoo),다 빛이나,,,,,,,14.0,28.0
다섯 번째 계절 (SSFWL),오마이걸(OH MY GIRL),THE FIFTH SEASON,23.0,26.0,36.0,46.0,,,,
달라달라,ITZY (있지),IT'z Different,34.0,37.0,40.0,45.0,49.0,48.0,47.0,36.0
대충 입고 나와,우디(Woody),대충 입고 나와,26.0,27.0,41.0,,,,,
도쿄 (Feat. 유라 (youra)),기리보이,100년제전문대학,36.0,,,,,,,
돈 Call Me (Prod.BRLLNT),염따,Dingo X 염따,44.0,,,,,,,
뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,MONKEY HOTEL,50.0,,,,,,,
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,35.0,32.0,35.0,41.0,38.0,41.0,39.0,41.0
뭐해 (What are you up to),강다니엘(KANG DANIEL),color on me,,,,,,,45.0,
벌써 12시,청하,벌써 12시,41.0,43.0,43.0,44.0,,,,
별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운,43.0,48.0,,,,,,
비가 내리는 날에는,윤하(Younha/ユンナ),STABLE MINDSET,,,,2.0,4.0,10.0,12.0,19.0
비가 오잖아,소유 (SOYOU),비가 오잖아,28.0,36.0,48.0,,,,,
비오는 날 뭐해,하은,비오는 날 뭐해,,,,,,50.0,,
비올레타,IZ*ONE(아이즈원),HEART*IZ,49.0,,,,,,,
비워 (Beer) (Prod. Way Ched),창모(CHANGMO),Dingo X Ambition Musik,,,,37.0,,,,
사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),17.0,21.0,23.0,28.0,33.0,30.0,29.0,27.0
사계 (하루살이),엠씨더맥스(M.C THE MAX),Circular,47.0,49.0,,,,,,
사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,6.0,9.0,10.0,14.0,13.0,16.0,18.0,20.0
사랑이 식었다고 말해도 돼,먼데이 키즈(Monday Kiz),사랑이 식었다고 말해도 돼,14.0,18.0,20.0,25.0,30.0,27.0,30.0,32.0
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,봉춤을 추네,46.0,,,,,,,
서울 밤 (feat. 빈지노),어반자카파,서울 밤,5.0,6.0,13.0,20.0,28.0,34.0,41.0,46.0
소년미 (少年美),PRODUCE X 101,PRODUCE X 101 - FINAL,,,,,,,42.0,
솔직하게 말해서 나,김나영,솔직하게 말해서 나,1.0,4.0,6.0,11.0,16.0,18.0,20.0,24.0
술이 문제야,장혜진,술이 문제야,,1.0,2.0,4.0,5.0,6.0,5.0,7.0
"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이,100년제전문대학,12.0,22.0,32.0,,,,,
열대야 (Fever),여자친구(GFRIEND),여자친구 The 7th Mini Album 'FEVER SEASON',,,,7.0,15.0,22.0,25.0,29.0
오늘 밤에,홍진영,Lots of Love,40.0,41.0,50.0,,,,,
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽(Maktub),Red Moon : To You My Light,,42.0,26.0,21.0,21.0,14.0,11.0,13.0
옥탑방 (Rooftop),엔플라잉(N.Flying),FLY HIGH PROJECT #2 '옥탑방',38.0,40.0,45.0,49.0,46.0,,,
움직여 (MOVE) (Prod. by ZICO),SIXC (6 crazy),PRODUCE X 101 - 31 Boys 5 Concepts,,,,43.0,27.0,36.0,43.0,
이뻐이뻐 (Pretty girl),크레파스,PRODUCE X 101 - 31 Boys 5 Concepts,,,,50.0,29.0,38.0,48.0,
인사,멜로망스(MeloMance),인사,,,,,2.0,5.0,10.0,18.0
작은 것들을 위한 시 (Boy With Luv) (feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,11.0,13.0,16.0,18.0,23.0,23.0,21.0,21.0
조금 더 외로워지겠지,김나영,검색어를 입력하세요 WWW OST Part 7,,,,,,,40.0,
주저하는 연인들을 위해,잔나비,전설,18.0,24.0,28.0,31.0,39.0,47.0,49.0,
짐살라빔 (Zimzalabim),Red Velvet (레드벨벳),‘The ReVe Festival’ Day 1,,3.0,5.0,13.0,24.0,31.0,38.0,49.0
포장마차,황인욱,포장마차,,,27.0,23.0,22.0,20.0,19.0,16.0
한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,,,,,,1.0,15.0,23.0
헤어져줘서 고마워,벤,헤어져줘서 고마워,,,,1.0,3.0,3.0,6.0,11.0
헤어질 걸 알아,폴킴(Paul Kim),헤어질 걸 알아,,,,,8.0,12.0,23.0,31.0
