,구별,횡단보도,신호등있는횡단보도,신호등없는횡단보도,발생건수,발생건수(만대당),사망자수,사건당 사망자수,주행속도(km/h)
0,종로구,993,278,715,1134,177.5,6,0.005291005291005291,22.5
1,중구,1323,288,1035,1128,169.8,9,0.007978723404255319,19.5
2,용산구,1007,290,717,1330,142.2,14,0.010526315789473684,26.6
3,성동구,1136,319,817,1143,90.2,9,0.007874015748031496,25.0
4,광진구,963,258,705,1108,93.2,10,0.009025270758122744,25.1
5,동대문구,1264,398,866,1699,139.2,14,0.00824014125956445,23.9
6,중랑구,1317,396,921,1565,113.2,10,0.006389776357827476,22.8
7,성북구,1708,409,1299,1427,99.9,14,0.009810791871058164,24.6
8,강북구,1097,319,778,1216,122.6,13,0.01069078947368421,21.3
9,도봉구,942,321,621,824,73.5,6,0.007281553398058253,21.9
10,노원구,1361,561,800,1569,93.1,14,0.008922880815806247,24.0
11,은평구,1334,438,896,1134,75.3,12,0.010582010582010581,21.6
12,서대문구,1086,272,814,1033,101.6,5,0.00484027105517909,23.6
13,마포구,1786,524,1262,1671,123.7,11,0.006582884500299222,24.5
14,양천구,1474,504,970,1428,84.4,11,0.007703081232492998,25.4
15,강서구,1814,567,1247,1502,67.4,11,0.007323568575233023,23.6
16,구로구,1575,432,1143,1532,95.6,13,0.008485639686684074,23.6
17,금천구,824,297,527,932,94.5,6,0.006437768240343348,23.5
18,영등포구,1919,652,1267,2493,155.5,22,0.008824709185720016,23.8
19,동작구,1037,229,808,1412,117.2,9,0.006373937677053824,26.0
20,관악구,894,313,581,1300,89.1,8,0.006153846153846154,25.3
21,서초구,1887,484,1403,2478,126.9,18,0.007263922518159807,26.2
22,강남구,2606,594,2012,3459,137.2,20,0.005782017924255565,24.5
23,송파구,1829,613,1216,2860,111.9,27,0.00944055944055944,24.0
24,강동구,1484,438,1046,1418,93.5,12,0.00846262341325811,23.9
